CRS,REGIAO_SAU,MUNICIPIOS,TOTAL_DOSES_LIBERADAS,TRAB_SAUDE_70,TRAB_SAUDE_70_VAC,INDIGENAS,INDIGENAS_VAC,MAIOR_60,MAIOR_60_VAC,IDOSOS_80e,IDOSOS_80e_VAC,META_1a_FASE,TOTAL_VAC,TOTAL_VAC_LOCALIZA
10 CRS,XINGU,PACAJA,286,242,183,0,0,0,0,377,0,619,183,164
11 CRS,CARAJAS,PALESTINA DO PARA,78,73,82,0,0,0,0,112,0,185,82,81
5 CRS,METROPOLITANA III,PARAGOMINAS,2216,1391,1381,612,470,18,18,690,0,2711,1869,1773
11 CRS,CARAJAS,PARAUAPEBAS,3329,2139,2270,1057,1,17,17,808,0,4021,2288,1724
12 CRS,ARAGUAIA,PAU D ARCO,104,99,56,188,0,0,0,73,0,360,56,48
4 CRS,RIO CAETES,PEIXE-BOI,68,69,69,0,0,0,0,178,0,247,69,0
11 CRS,CARAJAS,PICARRA,105,106,110,0,0,0,0,124,0,230,110,108
9 CRS,BAIXO AMAZONAS,PLACAS,209,195,188,0,0,0,0,150,140,345,328,146
7 CRS,MARAJO I,PONTA DE PEDRAS,174,164,183,0,0,0,0,352,0,516,183,184
8 CRS,MARAJO II,PORTEL,297,298,300,0,0,0,0,428,0,726,300,294
10 CRS,XINGU,PORTO DE MOZ,264,222,248,7,0,0,0,250,0,479,248,230
9 CRS,BAIXO AMAZONAS,PRAINHA,207,215,215,0,0,0,0,287,243,502,458,443
4 CRS,RIO CAETES,PRIMAVERA,138,104,140,0,0,0,0,242,0,346,140,143
4 CRS,RIO CAETES,QUATIPURU,90,99,96,0,0,0,0,218,0,317,96,98
12 CRS,ARAGUAIA,REDENCAO,1299,1228,1284,50,0,13,38,969,0,2260,1322,1194
12 CRS,ARAGUAIA,RIO MARIA,226,218,128,0,0,0,0,222,0,440,128,143
11 CRS,CARAJAS,RONDON DO PARA,371,355,370,0,0,0,0,528,0,883,370,354
9 CRS,TAPAJOS,RUROPOLIS,326,321,334,0,0,0,0,337,140,658,474,447
4 CRS,RIO CAETES,SALINOPOLIS,323,321,323,0,0,0,0,476,0,797,323,324
7 CRS,MARAJO I,SALVATERRA,117,116,129,0,0,0,0,321,2,437,131,130
1 CRS,METROPOLITANA I,SANTA BARBARA DO PARA,195,191,199,0,0,0,0,236,0,427,199,203
7 CRS,MARAJO I,SANTA CRUZ DO ARARI,84,110,94,0,0,0,0,98,0,208,94,94
2 CRS,METROPOLITANA II,SANTA ISABEL DO PARA,679,660,614,0,0,0,45,794,0,1454,659,602
4 CRS,RIO CAETES,SANTA LUZIA DO PARA,660,182,164,453,479,0,0,315,0,950,643,163
12 CRS,ARAGUAIA,SANTA MARIA DAS BARREIRAS,240,225,96,36,0,0,0,209,0,470,96,114
5 CRS,METROPOLITANA III,SANTA MARIA DO PARA,564,272,201,287,151,0,0,424,0,983,352,339
12 CRS,ARAGUAIA,SANTANA DO ARAGUAIA,326,335,467,27,30,13,13,349,0,724,510,128
9 CRS,BAIXO AMAZONAS,SANTAREM,9103,4562,3242,3756,1724,30,30,4070,2170,12418,7166,6006
4 CRS,RIO CAETES,SANTAREM NOVO,66,64,65,0,0,0,0,98,0,162,65,65
2 CRS,METROPOLITANA II,SANTO ANTONIO DO TAUA,217,209,193,0,0,0,0,363,0,572,193,183
2 CRS,METROPOLITANA II,SAO CAETANO DE ODIVELAS,118,127,127,0,0,0,0,294,0,421,127,127
11 CRS,CARAJAS,SAO DOMINGOS DO ARAGUAIA,229,193,211,26,0,0,0,461,0,680,211,211
3 CRS,METROPOLITANA III,SAO DOMINGOS DO CAPIM,237,213,243,0,0,0,0,349,0,562,243,243
12 CRS,ARAGUAIA,SAO FELIX DO XINGU,627,603,471,1046,0,19,17,330,0,1998,488,267
3 CRS,METROPOLITANA III,SAO FRANCISCO DO PARA,184,179,189,0,0,0,0,292,0,471,189,192
11 CRS,CARAJAS,SAO GERALDO DO ARAGUAIA,491,216,135,235,158,0,0,351,0,802,293,117
3 CRS,METROPOLITANA III,SAO JOAO DA PONTA,56,51,58,0,0,0,0,103,0,154,58,59
4 CRS,RIO CAETES,SAO JOAO DE PIRABAS,168,160,168,0,0,0,0,404,0,564,168,169
11 CRS,CARAJAS,SAO JOAO DO ARAGUAIA,164,161,102,0,0,0,0,185,0,346,102,100
5 CRS,METROPOLITANA III,SAO MIGUEL DO GUAMA,436,457,444,0,0,0,0,747,0,1204,444,439
7 CRS,MARAJO I,SAO SEBASTIAO DA BOA VISTA,196,216,183,0,0,0,0,307,0,523,183,184
12 CRS,ARAGUAIA,SAPUCAIA,82,82,27,0,0,15,0,48,0,145,27,59
10 CRS,XINGU,SENADOR JOSE PORFIRIO,670,115,123,254,0,0,0,61,0,430,123,117
7 CRS,MARAJO I,SOURE,145,194,109,0,0,0,0,373,0,567,109,139
6 CRS,LAGO TUCURUI,TAILANDIA,600,619,619,0,0,0,0,453,0,1072,619,494
3 CRS,METROPOLITANA III,TERRA ALTA,89,85,95,0,0,0,0,184,0,269,95,95
9 CRS,BAIXO AMAZONAS,TERRA SANTA,193,172,172,0,0,0,0,241,176,413,348,327
2 CRS,METROPOLITANA II,TOME-ACU,914,559,559,250,190,4,4,675,0,1488,753,467
4 CRS,RIO CAETES,TRACUATEUA,292,342,277,0,0,0,0,414,0,756,277,256
9 CRS,TAPAJOS,TRAIRAO,223,137,143,93,84,0,0,107,45,337,272,179
12 CRS,ARAGUAIA,TUCUMA,615,584,187,0,0,0,0,301,0,885,187,173
11 CRS,LAGO TUCURUI,TUCURUI,1843,1451,1523,267,140,13,13,869,0,2600,1676,1588
5 CRS,METROPOLITANA III,ULIANOPOLIS,502,498,355,0,0,0,0,281,0,779,355,374
10 CRS,XINGU,URUARA,354,351,351,0,0,0,0,344,0,695,351,226
2 CRS,METROPOLITANA II,VIGIA,416,427,274,0,0,0,0,750,0,1177,274,165
4 CRS,RIO CAETES,VISEU,451,454,440,0,0,0,0,641,0,1095,440,336
10 CRS,XINGU,VITORIA DO XINGU,539,243,256,221,0,0,0,128,0,592,256,421
12 CRS,ARAGUAIA,XINGUARA,640,621,469,0,0,8,12,418,0,1047,481,503
