CRS,REGIAO_SAU,MUNICIPIOS,TOTAL_DOSES_LIBERADAS,TRAB_SAUDE_70,TRAB_SAUDE_70_VAC,INDIGENAS,INDIGENAS_VAC,MAIOR_60,MAIOR_60_VAC,IDOSOS_80e,IDOSOS_80e_VAC,META_1a_FASE,TOTAL_VAC,TOTAL_VAC_LOCALIZA
6 CRS,TOCANTINS,ABAETETUBA,1595,1664,1664,0,0,0,0,1946,0,3610,1664,1413
11 CRS,CARAJAS,ABEL FIGUEIREDO,86,82,83,0,0,0,0,97,0,179,83,73
2 CRS,METROPOLITANA II,ACARA,330,315,309,0,0,0,2,551,0,866,311,309
7 CRS,MARAJO I,AFUA,322,331,300,0,0,0,0,335,0,666,300,299
12 CRS,ARAGUAIA,AGUA AZUL DO NORTE,177,201,125,0,0,0,0,117,0,318,125,129
9 CRS,BAIXO AMAZONAS,ALENQUER,465,449,372,0,0,7,0,821,535,1277,907,849
9 CRS,BAIXO AMAZONAS,ALMEIRIM,289,308,289,614,351,0,0,319,175,1241,815,476
10 CRS,XINGU,ALTAMIRA,4467,2017,2126,3294,380,0,0,1241,0,6552,2506,2098
8 CRS,MARAJO II,ANAJAS,164,158,170,0,0,0,0,214,0,372,170,170
1 CRS,METROPOLITANA I,ANANINDEUA,6700,6350,6195,0,0,11,20,5466,1708,11827,7923,3237
10 CRS,XINGU,ANAPU,1112,223,138,386,0,0,0,162,0,771,138,138
4 CRS,RIO CAETES,AUGUSTO CORREA,308,303,309,0,0,0,0,463,0,766,309,304
5 CRS,METROPOLITANA III,AURORA DO PARA,193,201,191,28,0,0,0,279,0,508,191,191
9 CRS,TAPAJOS,AVEIRO,420,105,110,490,0,0,0,220,40,815,150,142
8 CRS,MARAJO II,BAGRE,187,182,194,0,0,0,0,153,0,335,194,195
13 CRS,TOCANTINS,BAIAO,293,285,189,39,0,0,0,398,0,722,189,188
12 CRS,ARAGUAIA,BANNACH,66,64,62,90,0,0,0,46,0,200,62,49
6 CRS,TOCANTINS,BARCARENA,1638,1560,1531,0,0,0,1,952,0,2512,1532,1587
1 CRS,METROPOLITANA I,BELEM,39033,34279,16663,0,0,172,264,26178,11871,60629,28798,11817
9 CRS,BAIXO AMAZONAS,BELTERRA,459,153,130,307,0,0,0,312,220,772,350,66
1 CRS,METROPOLITANA I,BENEVIDES,512,476,498,0,0,0,0,623,0,1099,498,498
11 CRS,CARAJAS,BOM JESUS DO TOCANTINS,679,165,174,507,310,0,0,199,0,871,484,176
4 CRS,RIO CAETES,BONITO,108,95,117,0,0,0,0,149,0,244,117,117
4 CRS,RIO CAETES,BRAGANCA,1381,1310,1389,0,0,0,0,1579,0,2889,1389,1390
10 CRS,XINGU,BRASIL NOVO,161,158,111,0,0,0,0,226,0,384,111,99
11 CRS,CARAJAS,BREJO GRANDE DO ARAGUAIA,76,71,71,0,0,0,0,110,0,181,71,83
11 CRS,LAGO TUCURUI,BREU BRANCO,328,284,297,0,0,5,5,549,0,838,302,306
8 CRS,MARAJO II,BREVES,859,792,763,0,0,0,0,1039,0,1831,763,753
2 CRS,METROPOLITANA II,BUJARU,143,133,156,0,0,0,0,323,0,456,156,156
7 CRS,MARAJO I,CACHOEIRA DO ARARI,133,97,136,0,0,0,0,133,0,230,136,139
4 CRS,RIO CAETES,CACHOEIRA DO PIRIA,172,190,144,0,0,0,0,355,0,545,144,136
13 CRS,TOCANTINS,CAMETA,1107,1055,1070,0,0,0,0,1696,0,2751,1070,728
11 CRS,CARAJAS,CANAA DOS CARAJAS,644,571,624,16,0,0,0,154,0,741,624,608
4 CRS,RIO CAETES,CAPANEMA,1466,1427,1115,0,0,19,19,1161,0,2607,1134,1083
5 CRS,METROPOLITANA III,CAPITAO POCO,572,516,525,0,0,0,0,718,0,1234,525,971
3 CRS,METROPOLITANA III,CASTANHAL,2481,2464,1732,0,0,38,0,2282,0,4784,1732,2255
7 CRS,MARAJO I,CHAVES,158,142,142,0,0,0,0,223,4,365,146,140
2 CRS,METROPOLITANA II,COLARES,115,111,113,0,0,0,0,246,0,357,113,113
12 CRS,ARAGUAIA,CONCEICAO DO ARAGUAIA,895,854,715,0,0,10,0,836,0,1700,715,739
2 CRS,METROPOLITANA II,CONCORDIA DO PARA,220,211,225,0,0,0,0,345,0,556,225,215
12 CRS,ARAGUAIA,CUMARU DO NORTE,115,124,134,816,0,0,0,35,0,975,134,42
11 CRS,CARAJAS,CURIONOPOLIS,166,159,126,0,0,0,5,323,0,482,131,76
8 CRS,MARAJO II,CURRALINHO,151,167,186,0,0,0,0,281,0,448,186,184
9 CRS,BAIXO AMAZONAS,CURUA,94,85,90,0,0,0,0,125,77,210,167,165
3 CRS,METROPOLITANA III,CURUCA,329,309,336,0,0,0,0,753,0,1062,336,336
5 CRS,CARAJAS,DOM ELISEU,455,514,312,0,0,0,0,415,0,929,312,291
11 CRS,CARAJAS,ELDORADO DOS CARAJAS,193,187,193,0,0,0,0,283,0,470,193,193
9 CRS,BAIXO AMAZONAS,FARO,153,152,155,0,0,0,0,96,92,248,247,231
12 CRS,ARAGUAIA,FLORESTA DO ARAGUAIA,234,230,102,0,0,0,0,199,0,429,102,126
5 CRS,METROPOLITANA III,GARRAFAO DO NORTE,387,506,252,0,0,0,0,296,0,802,252,257
11 CRS,LAGO TUCURUI,GOIANESIA DO PARA,321,280,241,42,37,0,0,276,0,598,278,147
8 CRS,MARAJO II,GURUPA,277,336,312,0,0,0,0,284,0,620,312,313
3 CRS,METROPOLITANA III,IGARAPE-ACU,347,334,286,0,0,0,0,614,0,948,286,374
6 CRS,TOCANTINS,IGARAPE-MIRI,476,466,466,0,0,0,0,814,0,1280,466,432
3 CRS,METROPOLITANA III,INHANGAPI,100,89,101,0,0,0,0,152,0,241,101,101
5 CRS,METROPOLITANA III,IPIXUNA DO PARA,450,387,360,0,0,0,0,252,0,639,360,387
5 CRS,METROPOLITANA III,IRITUIA,236,272,249,0,0,0,0,534,0,806,249,207
9 CRS,TAPAJOS,ITAITUBA,1671,1222,1149,672,209,29,26,1032,457,2955,1841,1268
11 CRS,CARAJAS,ITUPIRANGA,718,311,304,283,0,13,12,470,0,1077,316,286
9 CRS,TAPAJOS,JACAREACANGA,4888,187,80,4964,680,0,0,34,3,5185,763,211
11 CRS,LAGO TUCURUI,JACUNDA,370,288,320,42,0,0,0,556,0,886,320,292
9 CRS,BAIXO AMAZONAS,JURUTI,545,536,478,0,0,0,0,496,319,1032,797,138
13 CRS,TOCANTINS,LIMOEIRO DO AJURU,232,204,227,0,0,0,0,286,0,490,227,133
5 CRS,METROPOLITANA III,MAE DO RIO,314,257,284,0,0,0,0,418,0,675,284,278
3 CRS,METROPOLITANA III,MAGALHAES BARATA,70,69,68,0,0,0,0,160,0,229,68,68
11 CRS,CARAJAS,MARABA,3088,2773,2712,0,0,25,43,2173,0,4971,2755,3347
3 CRS,METROPOLITANA III,MARACANA,224,218,218,0,0,0,0,548,0,766,218,190
3 CRS,METROPOLITANA III,MARAPANIM,383,368,381,0,0,0,0,590,0,958,381,381
1 CRS,METROPOLITANA I,MARITUBA,1161,1290,900,0,0,43,43,929,5,2262,948,1028
10 CRS,XINGU,MEDICILANDIA,189,171,222,0,0,7,7,254,0,432,229,209
8 CRS,MARAJO II,MELGACO,256,246,188,0,0,0,0,129,0,375,188,186
13 CRS,TOCANTINS,MOCAJUBA,238,214,186,0,0,0,0,463,0,677,186,199
6 CRS,TOCANTINS,MOJU,420,307,307,87,66,0,0,668,0,1062,373,199
9 CRS,BAIXO AMAZONAS,MOJUI DOS CAMPOS,118,126,127,0,0,0,0,261,199,387,326,0
9 CRS,BAIXO AMAZONAS,MONTE ALEGRE,389,382,365,0,0,0,0,951,712,1333,1077,945
7 CRS,MARAJO I,MUANA,192,182,194,0,0,0,0,360,0,542,194,200
5 CRS,METROPOLITANA III,NOVA ESPERANCA DO PIRIA,138,138,138,0,0,0,0,129,0,267,138,137
11 CRS,CARAJAS,NOVA IPIXUNA,127,122,129,0,0,0,0,165,0,287,129,113
4 CRS,RIO CAETES,NOVA TIMBOTEUA,146,130,154,0,0,0,0,301,0,431,154,28
9 CRS,TAPAJOS,NOVO PROGRESSO,919,209,227,0,0,0,0,96,9,305,236,239
11 CRS,LAGO TUCURUI,NOVO REPARTIMENTO,1213,608,466,443,0,0,0,536,0,1587,466,393
9 CRS,BAIXO AMAZONAS,OBIDOS,574,421,392,1259,385,0,0,734,494,2414,1271,926
13 CRS,TOCANTINS,OEIRAS DO PARA,246,243,248,0,0,0,0,285,0,528,248,145
9 CRS,BAIXO AMAZONAS,ORIXIMINA,2087,578,650,1519,1344,0,0,814,745,2911,2739,2166
4 CRS,RIO CAETES,OUREM,126,113,135,0,0,0,0,283,0,396,135,65
12 CRS,ARAGUAIA,OURILANDIA DO NORTE,593,562,633,929,0,4,4,166,0,1661,637,219
