CRS,REGIAO_SAU,MUNICIPIOS,TOTAL_DOSES_LIBERADAS,TRAB_SAUDE_70,TRAB_SAUDE_70_VAC,INDIGENAS,INDIGENAS_VAC,MAIOR_60,MAIOR_60_VAC,IDOSOS_80e,IDOSOS_80e_VAC,META_1a_FASE,TOTAL_VAC,TOTAL_VAC_LOCALIZA
9 CRS,BAIXO AMAZONAS,SANTAREM,20206,4562,3274,3756,1810,30,30,4070,2224,12418,7338,3357
4 CRS,RIO CAETES,SANTAREM NOVO,136,64,65,0,0,0,0,98,8,162,73,65
2 CRS,METROPOLITANA II,SANTO ANTONIO DO TAUA,428,209,193,0,0,0,0,363,0,572,193,183
2 CRS,METROPOLITANA II,SAO CAETANO DE ODIVELAS,264,127,127,0,0,0,0,294,0,421,127,127
11 CRS,CARAJAS,SAO DOMINGOS DO ARAGUAIA,499,193,211,26,0,0,0,461,0,680,211,211
3 CRS,METROPOLITANA III,SAO DOMINGOS DO CAPIM,462,213,243,0,0,0,0,349,0,562,243,243
12 CRS,ARAGUAIA,SAO FELIX DO XINGU,2630,603,471,1046,0,19,17,330,0,1998,488,280
3 CRS,METROPOLITANA III,SAO FRANCISCO DO PARA,372,179,192,0,0,0,0,292,0,471,192,192
11 CRS,CARAJAS,SAO GERALDO DO ARAGUAIA,946,216,146,235,166,0,0,351,0,802,312,120
3 CRS,METROPOLITANA III,SAO JOAO DA PONTA,119,51,59,0,0,0,0,103,0,154,59,59
4 CRS,RIO CAETES,SAO JOAO DE PIRABAS,361,160,178,0,0,0,0,404,0,564,178,179
11 CRS,CARAJAS,SAO JOAO DO ARAGUAIA,312,161,102,0,0,0,0,185,0,346,102,100
5 CRS,METROPOLITANA III,SAO MIGUEL DO GUAMA,890,457,454,0,0,0,0,747,0,1204,454,439
7 CRS,MARAJO I,SAO SEBASTIAO DA BOA VISTA,576,216,223,0,0,0,0,307,63,523,286,194
12 CRS,ARAGUAIA,SAPUCAIA,184,82,126,0,0,15,0,48,0,145,126,65
10 CRS,XINGU,SENADOR JOSE PORFIRIO,214,115,123,254,0,0,0,61,0,430,123,117
7 CRS,MARAJO I,SOURE,552,194,283,0,0,0,0,373,132,567,415,256
6 CRS,LAGO TUCURUI,TAILANDIA,1098,619,619,0,0,0,0,453,0,1072,619,529
3 CRS,METROPOLITANA III,TERRA ALTA,198,85,108,0,0,0,0,184,0,269,108,117
9 CRS,BAIXO AMAZONAS,TERRA SANTA,536,172,172,0,0,0,0,241,176,413,348,327
2 CRS,METROPOLITANA II,TOME-ACU,1826,559,559,250,200,4,4,675,0,1488,763,494
4 CRS,RIO CAETES,TRACUATEUA,585,342,288,0,0,0,0,414,0,756,288,260
9 CRS,TAPAJOS,TRAIRAO,514,137,148,93,88,0,0,107,47,337,283,184
12 CRS,ARAGUAIA,TUCUMA,1068,584,191,0,0,0,0,301,0,885,191,178
11 CRS,LAGO TUCURUI,TUCURUI,3307,1451,1523,267,147,13,13,869,0,2600,1683,1674
5 CRS,METROPOLITANA III,ULIANOPOLIS,847,498,375,0,0,0,0,281,0,779,375,385
10 CRS,XINGU,URUARA,656,351,351,0,0,0,0,344,0,695,351,242
2 CRS,METROPOLITANA II,VIGIA,849,427,274,0,0,0,0,750,0,1177,274,188
4 CRS,RIO CAETES,VISEU,890,454,451,0,0,0,0,641,0,1095,451,353
10 CRS,XINGU,VITORIA DO XINGU,444,243,256,221,0,0,0,128,0,592,256,436
12 CRS,ARAGUAIA,XINGUARA,1156,621,469,0,0,8,12,418,4,1047,485,503
