CRS,REGIAO_SAU,MUNICIPIOS,TOTAL_DOSES_LIBERADAS,TRAB_SAUDE_70,TRAB_SAUDE_70_VAC,INDIGENAS,INDIGENAS_VAC,MAIOR_60,MAIOR_60_VAC,META_1a_FASE,TOTAL_VAC,TOTAL_VAC_ESUS
11 CRS,LAGO TUCURUI,NOVO REPARTIMENTO,1213,608,466,590,0,0,0,1198,466,357
11 CRS,CARAJAS,PALESTINA DO PARA,78,73,82,0,0,0,0,73,82,64
11 CRS,CARAJAS,PARAUAPEBAS,3329,2139,2230,1057,1,17,17,3213,2248,1287
11 CRS,CARAJAS,PICARRA,105,106,100,0,0,0,0,106,100,71
11 CRS,CARAJAS,RONDON DO PARA,371,355,364,0,0,0,0,355,364,291
11 CRS,CARAJAS,SAO DOMINGOS DO ARAGUAIA,229,193,211,26,0,0,0,219,211,183
11 CRS,CARAJAS,SAO GERALDO DO ARAGUAIA,491,216,104,240,158,0,0,456,262,85
11 CRS,CARAJAS,SAO JOAO DO ARAGUAIA,164,161,102,0,0,0,0,161,102,62
11 CRS,LAGO TUCURUI,TUCURUI,1843,1451,1439,267,140,13,13,1731,1592,1031
12 CRS,ARAGUAIA,AGUA AZUL DO NORTE,177,201,29,0,0,0,0,201,29,132
12 CRS,ARAGUAIA,BANNACH,66,64,56,90,0,0,0,154,56,25
12 CRS,ARAGUAIA,CONCEICAO DO ARAGUAIA,895,854,715,0,0,10,0,864,715,685
12 CRS,ARAGUAIA,CUMARU DO NORTE,115,124,38,780,0,0,0,904,38,40
12 CRS,ARAGUAIA,FLORESTA DO ARAGUAIA,234,230,102,0,0,0,0,230,102,107
12 CRS,ARAGUAIA,OURILANDIA DO NORTE,593,562,597,880,0,4,4,1446,601,192
12 CRS,ARAGUAIA,PAU D'ARCO,104,99,45,180,0,0,0,279,45,64
12 CRS,ARAGUAIA,REDENCAO,1299,1228,1215,50,0,13,38,1291,1253,931
12 CRS,ARAGUAIA,RIO MARIA,226,218,128,0,0,0,0,218,128,124
12 CRS,ARAGUAIA,SANTA MARIA DAS BARREIRAS,240,225,96,0,0,0,0,225,96,109
12 CRS,ARAGUAIA,SANTANA DO ARAGUAIA,326,335,339,30,30,13,13,378,382,107
12 CRS,ARAGUAIA,SAO FELIX DO XINGU,627,603,443,842,0,19,17,1464,460,168
12 CRS,ARAGUAIA,SAPUCAIA,82,82,27,0,0,15,0,97,27,48
12 CRS,ARAGUAIA,TUCUMA,615,584,174,0,0,0,0,584,174,117
12 CRS,ARAGUAIA,XINGUARA,640,621,409,0,0,8,12,629,421,413
13 CRS,TOCANTINS,BAIAO,293,285,187,87,0,0,0,372,187,208
13 CRS,TOCANTINS,CAMETA,1107,1055,996,0,0,0,0,1055,996,655
13 CRS,TOCANTINS,LIMOEIRO DO AJURU,232,204,222,0,0,0,0,204,222,130
13 CRS,TOCANTINS,MOCAJUBA,238,214,166,0,0,0,0,214,166,162
13 CRS,TOCANTINS,OEIRAS DO PARA,246,243,248,0,0,0,0,243,248,139
2 CRS,METROPOLITANA II,ACARA,330,315,256,0,0,0,2,315,258,199
2 CRS,METROPOLITANA II,BUJARU,143,133,190,0,0,0,0,133,190,135
2 CRS,METROPOLITANA II,COLARES,115,111,158,0,0,0,0,111,158,95
2 CRS,METROPOLITANA II,CONCORDIA DO PARA,220,211,304,0,0,0,0,211,304,200
2 CRS,METROPOLITANA II,SANTA ISABEL DO PARA,679,660,532,0,0,0,45,660,577,499
2 CRS,METROPOLITANA II,SANTO ANTONIO DO TAUA,217,209,193,0,0,0,0,209,193,136
2 CRS,METROPOLITANA II,SAO CAETANO DE ODIVELAS,118,127,127,0,0,0,0,127,127,94
2 CRS,METROPOLITANA II,TOME-ACU,914,559,539,357,190,4,4,920,733,372
2 CRS,METROPOLITANA II,VIGIA,416,427,274,0,0,0,0,427,274,126
3 CRS,METROPOLITANA III,CASTANHAL,2481,2464,1301,0,0,38,0,2502,1301,1599
3 CRS,METROPOLITANA III,CURUCA,329,309,336,0,0,0,0,309,336,295
3 CRS,METROPOLITANA III,IGARAPE-ACU,347,334,248,0,0,0,0,334,248,297
3 CRS,METROPOLITANA III,INHANGAPI,100,89,101,0,0,0,0,89,101,88
3 CRS,METROPOLITANA III,MAGALHAES BARATA,70,69,68,0,0,0,0,69,68,64
3 CRS,METROPOLITANA III,MARACANA,224,218,350,0,0,0,0,218,350,136
3 CRS,METROPOLITANA III,MARAPANIM,383,368,381,0,0,0,0,368,381,324
3 CRS,METROPOLITANA III,SAO DOMINGOS DO CAPIM,237,213,243,0,0,0,0,213,243,227
3 CRS,METROPOLITANA III,SAO FRANCISCO DO PARA,184,179,189,0,0,0,0,179,189,191
3 CRS,METROPOLITANA III,SAO JOAO DA PONTA,56,51,58,0,0,0,0,51,58,36
3 CRS,METROPOLITANA III,TERRA ALTA,89,85,95,0,0,0,0,85,95,75
4 CRS,RIO CAETES,AUGUSTO CORREA,308,303,291,0,0,0,0,303,291,251
4 CRS,RIO CAETES,BONITO,108,95,110,0,0,0,0,95,110,72
4 CRS,RIO CAETES,BRAGANCA,1381,1310,1389,0,0,0,0,1310,1389,1353
4 CRS,RIO CAETES,CACHOEIRA DO PIRIA,172,190,120,0,0,0,0,190,120,109
4 CRS,RIO CAETES,CAPANEMA,1466,1427,1074,0,0,19,19,1446,1093,872
4 CRS,RIO CAETES,NOVA TIMBOTEUA,146,130,154,0,0,0,0,130,154,55
4 CRS,RIO CAETES,OUREM,126,113,116,0,0,0,0,113,116,71
4 CRS,RIO CAETES,PEIXE-BOI,68,69,69,0,0,0,0,69,69,61
4 CRS,RIO CAETES,PRIMAVERA,138,104,140,0,0,0,0,104,140,125
4 CRS,RIO CAETES,QUATIPURU,90,99,96,0,0,0,0,99,96,83
4 CRS,RIO CAETES,SALINOPOLIS,323,321,323,0,0,0,0,321,323,304
4 CRS,RIO CAETES,SANTA LUZIA DO PARA,660,182,164,502,467,0,0,684,631,355
4 CRS,RIO CAETES,SANTAREM NOVO,66,64,65,0,0,0,0,64,65,52
4 CRS,RIO CAETES,SAO JOAO DE PIRABAS,168,160,168,0,0,0,0,160,168,147
4 CRS,RIO CAETES,TRACUATEUA,292,342,260,0,0,0,0,342,260,227
4 CRS,RIO CAETES,VISEU,451,454,400,0,0,0,0,454,400,277
5 CRS,METROPOLITANA III,AURORA DO PARA,193,201,191,0,0,0,0,201,191,191
5 CRS,METROPOLITANA III,CAPITAO POCO,572,516,525,0,0,0,0,516,525,644
5 CRS,CARAJAS,DOM ELISEU,455,514,232,0,0,0,0,514,232,258
5 CRS,METROPOLITANA III,GARRAFAO DO NORTE,387,506,232,0,0,0,0,506,232,232
5 CRS,METROPOLITANA III,IPIXUNA DO PARA,450,387,340,0,0,0,0,387,340,331
5 CRS,METROPOLITANA III,IRITUIA,236,272,226,0,0,0,0,272,226,182
5 CRS,METROPOLITANA III,MAE DO RIO,314,257,272,0,0,0,0,257,272,230
5 CRS,METROPOLITANA III,NOVA ESPERANCA DO PIRIA,138,138,138,0,0,0,0,138,138,114
5 CRS,METROPOLITANA III,PARAGOMINAS,2216,1391,1283,777,470,18,18,2186,1771,1068
5 CRS,METROPOLITANA III,SANTA MARIA DO PARA,564,272,201,286,151,0,0,558,352,309
5 CRS,METROPOLITANA III,SAO MIGUEL DO GUAMA,436,457,441,0,0,0,0,457,441,421
5 CRS,METROPOLITANA III,ULIANOPOLIS,502,498,355,0,0,0,0,498,355,318
6 CRS,TOCANTINS,ABAETETUBA,1595,1664,1664,0,0,0,0,1664,1664,1280
6 CRS,TOCANTINS,BARCARENA,1638,1560,1531,0,0,0,1,1560,1532,1360
6 CRS,TOCANTINS,IGARAPE-MIRI,476,466,466,0,0,0,0,466,466,387
6 CRS,TOCANTINS,MOJU,420,307,307,87,66,0,0,394,373,198
6 CRS,LAGO TUCURUI,TAILANDIA,600,619,619,0,0,0,0,619,619,299
7 CRS,MARAJO I,AFUA,322,331,300,0,0,0,0,331,300,230
7 CRS,MARAJO I,CACHOEIRA DO ARARI,133,97,136,0,0,0,0,97,136,117
7 CRS,MARAJO I,CHAVES,158,142,194,0,0,0,0,142,194,108
7 CRS,MARAJO I,MUANA,192,182,194,0,0,0,0,182,194,180
7 CRS,MARAJO I,PONTA DE PEDRAS,174,164,192,0,0,0,0,164,192,156
7 CRS,MARAJO I,SALVATERRA,117,116,129,0,0,0,0,116,129,98
7 CRS,MARAJO I,SANTA CRUZ DO ARARI,84,110,94,0,0,0,0,110,94,61
7 CRS,MARAJO I,SAO SEBASTIAO DA BOA VISTA,196,216,180,0,0,0,0,216,180,134
7 CRS,MARAJO I,SOURE,145,194,109,0,0,0,0,194,109,127
8 CRS,MARAJO II,ANAJAS,164,158,170,0,0,0,0,158,170,158
8 CRS,MARAJO II,BAGRE,187,182,194,0,0,0,0,182,194,181
8 CRS,MARAJO II,BREVES,859,792,759,0,0,0,0,792,759,694
8 CRS,MARAJO II,CURRALINHO,151,167,186,0,0,0,0,167,186,151
8 CRS,MARAJO II,GURUPA,277,336,303,0,0,0,0,336,303,260
8 CRS,MARAJO II,MELGACO,256,246,188,0,0,0,0,246,188,167
8 CRS,MARAJO II,PORTEL,297,298,300,0,0,0,0,298,300,239
9 CRS,BAIXO AMAZONAS,ALENQUER,465,449,351,0,0,7,0,456,351,730
9 CRS,BAIXO AMAZONAS,ALMEIRIM,289,308,289,0,0,0,0,308,289,444
9 CRS,TAPAJOS,AVEIRO,420,105,110,320,0,0,0,425,110,117
9 CRS,BAIXO AMAZONAS,BELTERRA,459,153,124,320,0,0,0,473,124,171
9 CRS,BAIXO AMAZONAS,CURUA,94,85,90,0,0,0,0,85,90,135
9 CRS,BAIXO AMAZONAS,FARO,153,152,155,0,0,0,0,152,155,184
9 CRS,TAPAJOS,ITAITUBA,1671,1222,1060,411,209,29,26,1662,1295,916
9 CRS,TAPAJOS,JACAREACANGA,4888,187,79,4694,636,0,0,4881,715,150
9 CRS,BAIXO AMAZONAS,JURUTI,545,536,465,0,0,0,0,536,465,131
9 CRS,BAIXO AMAZONAS,MOJUI DOS CAMPOS,118,126,115,0,0,0,0,126,115,10
9 CRS,BAIXO AMAZONAS,MONTE ALEGRE,389,382,365,0,0,0,0,382,365,744
9 CRS,TAPAJOS,NOVO PROGRESSO,919,209,216,691,0,0,0,900,216,213
9 CRS,BAIXO AMAZONAS,OBIDOS,574,421,392,181,177,0,0,602,569,482
9 CRS,BAIXO AMAZONAS,ORIXIMINA,2087,578,863,1450,1344,0,0,2028,2207,1828
9 CRS,BAIXO AMAZONAS,PLACAS,209,195,182,0,0,0,0,195,182,124
9 CRS,BAIXO AMAZONAS,PRAINHA,207,215,342,0,0,0,0,215,342,347
9 CRS,TAPAJOS,RUROPOLIS,326,321,334,0,0,0,0,321,334,385
9 CRS,BAIXO AMAZONAS,SANTAREM,9103,4562,2973,3838,0,30,30,8430,3003,2238
9 CRS,BAIXO AMAZONAS,TERRA SANTA,193,172,215,0,0,0,0,172,215,231
9 CRS,TAPAJOS,TRAIRAO,223,137,129,84,84,0,0,221,213,143
