CRS,REGIAO_SAU,MUNICIPIOS,TOTAL_DOSES_LIBERADAS,TRAB_SAUDE_70,TRAB_SAUDE_70_VAC,INDIGENAS,INDIGENAS_VAC,MAIOR_60,MAIOR_60_VAC,META_1a_FASE,TOTAL_VAC,TOTAL_VAC_ESUS
1 CRS,METROPOLITANA I,ANANINDEUA,6700,6350,3703,0,0,11,11,6361,3714,3007
1 CRS,METROPOLITANA I,BELEM,39033,34279,16116,0,0,172,307,34451,16423,9879
1 CRS,METROPOLITANA I,BENEVIDES,512,476,335,0,0,0,0,476,335,465
1 CRS,METROPOLITANA I,MARITUBA,1161,1290,683,0,0,43,41,1333,724,721
1 CRS,METROPOLITANA I,SANTA BARBARA DO PARA,195,191,193,0,0,0,0,191,193,148
10 CRS,XINGU,ALTAMIRA,4467,2017,1853,1978,380,0,0,3995,2233,1682
10 CRS,XINGU,ANAPU,1112,223,138,882,0,0,0,1105,138,122
10 CRS,XINGU,BRASIL NOVO,161,158,98,0,0,0,0,158,98,97
10 CRS,XINGU,MEDICILANDIA,189,171,202,0,0,7,7,178,209,190
10 CRS,XINGU,PACAJA,286,242,180,0,0,0,0,242,180,140
10 CRS,XINGU,PORTO DE MOZ,264,222,231,13,0,0,0,235,231,182
10 CRS,XINGU,SENADOR JOSE PORFIRIO,670,115,123,544,0,0,0,659,123,79
10 CRS,XINGU,URUARA,354,351,196,0,0,0,0,351,196,209
10 CRS,XINGU,VITORIA DO XINGU,539,243,222,283,0,0,0,526,222,228
11 CRS,CARAJAS,ABEL FIGUEIREDO,86,82,83,0,0,0,0,82,83,73
11 CRS,CARAJAS,BOM JESUS DO TOCANTINS,679,165,174,508,310,0,0,673,484,165
11 CRS,CARAJAS,BREJO GRANDE DO ARAGUAIA,76,71,80,0,0,0,0,71,80,77
11 CRS,LAGO TUCURUI,BREU BRANCO,328,284,277,0,0,5,5,289,282,231
11 CRS,CARAJAS,CANAA DOS CARAJAS,644,571,605,35,0,0,0,606,605,468
11 CRS,CARAJAS,CURIONOPOLIS,166,159,96,0,0,0,5,159,101,56
11 CRS,CARAJAS,ELDORADO DOS CARAJAS,193,187,193,0,0,0,0,187,193,160
11 CRS,LAGO TUCURUI,GOIANESIA DO PARA,321,280,212,42,37,0,0,322,249,143
11 CRS,CARAJAS,ITUPIRANGA,718,311,273,370,0,13,12,694,285,229
11 CRS,LAGO TUCURUI,JACUNDA,370,288,300,38,0,0,0,326,300,305
11 CRS,CARAJAS,MARABA,3088,2773,2569,0,0,25,43,2798,2612,275
11 CRS,CARAJAS,NOVA IPIXUNA,127,122,119,0,0,0,0,122,119,97
