CRS,REGIAO_SAU,MUNICIPIOS,TOTAL_DOSES_LIBERADAS,TRAB_SAUDE_70,TRAB_SAUDE_70_VAC,INDIGENAS,INDIGENAS_VAC,MAIOR_60,MAIOR_60_VAC,META_1a_FASE,TOTAL_VAC,TOTAL_VAC_LOCALIZA
3 CRS,METROPOLITANA III,CURUCA,329,309,336,0,0,0,0,309,336,336
3 CRS,METROPOLITANA III,IGARAPE-ACU,347,334,286,0,0,0,0,334,286,286
3 CRS,METROPOLITANA III,INHANGAPI,100,89,101,0,0,0,0,89,101,101
3 CRS,METROPOLITANA III,MAGALHAES BARATA,70,69,68,0,0,0,0,69,68,68
3 CRS,METROPOLITANA III,MARACANA,224,218,350,0,0,0,0,218,350,166
3 CRS,METROPOLITANA III,MARAPANIM,383,368,381,0,0,0,0,368,381,381
3 CRS,METROPOLITANA III,SAO DOMINGOS DO CAPIM,237,213,243,0,0,0,0,213,243,243
3 CRS,METROPOLITANA III,SAO FRANCISCO DO PARA,184,179,189,0,0,0,0,179,189,189
3 CRS,METROPOLITANA III,SAO JOAO DA PONTA,56,51,58,0,0,0,0,51,58,57
3 CRS,METROPOLITANA III,TERRA ALTA,89,85,95,0,0,0,0,85,95,95
4 CRS,RIO CAETES,AUGUSTO CORREA,308,303,296,0,0,0,0,303,296,289
4 CRS,RIO CAETES,BONITO,108,95,117,0,0,0,0,95,117,85
4 CRS,RIO CAETES,BRAGANCA,1381,1310,1389,0,0,0,0,1310,1389,1386
4 CRS,RIO CAETES,CACHOEIRA DO PIRIA,172,190,140,0,0,0,0,190,140,117
4 CRS,RIO CAETES,CAPANEMA,1466,1427,1115,0,0,19,19,1446,1134,1019
4 CRS,RIO CAETES,NOVA TIMBOTEUA,146,130,154,0,0,0,0,130,154,28
4 CRS,RIO CAETES,OUREM,126,113,116,0,0,0,0,113,116,65
4 CRS,RIO CAETES,PEIXE-BOI,68,69,69,0,0,0,0,69,69,0
4 CRS,RIO CAETES,PRIMAVERA,138,104,140,0,0,0,0,104,140,143
4 CRS,RIO CAETES,QUATIPURU,90,99,96,0,0,0,0,99,96,98
4 CRS,RIO CAETES,SALINOPOLIS,323,321,323,0,0,0,0,321,323,324
4 CRS,RIO CAETES,SANTA LUZIA DO PARA,660,182,164,502,478,0,0,684,642,163
4 CRS,RIO CAETES,SANTAREM NOVO,66,64,65,0,0,0,0,64,65,65
4 CRS,RIO CAETES,SAO JOAO DE PIRABAS,168,160,168,0,0,0,0,160,168,169
4 CRS,RIO CAETES,TRACUATEUA,292,342,260,0,0,0,0,342,260,256
4 CRS,RIO CAETES,VISEU,451,454,420,0,0,0,0,454,420,310
5 CRS,METROPOLITANA III,AURORA DO PARA,193,201,191,0,0,0,0,201,191,191
5 CRS,METROPOLITANA III,CAPITAO POCO,572,516,525,0,0,0,0,516,525,960
5 CRS,CARAJAS,DOM ELISEU,455,514,269,0,0,0,0,514,269,259
5 CRS,METROPOLITANA III,GARRAFAO DO NORTE,387,506,243,0,0,0,0,506,243,252
5 CRS,METROPOLITANA III,IPIXUNA DO PARA,450,387,360,0,0,0,0,387,360,362
5 CRS,METROPOLITANA III,IRITUIA,236,272,249,0,0,0,0,272,249,207
