CRS,REGIAO_SAU,MUNICIPIOS,TOTAL_DOSES_LIBERADAS,TRAB_SAUDE_70,TRAB_SAUDE_70_VAC,INDIGENAS,INDIGENAS_VAC,MAIOR_60,MAIOR_60_VAC,META_1a_FASE,TOTAL_VAC,TOTAL_VAC_ESUS
6º CRS,TOCANTINS,ABAETETUBA,1595,1664,1069,0,0,0,0,1664,1069,839
11º CRS,CARAJÁS,ABEL FIGUEIREDO,86,82,83,0,0,0,0,82,83,60
2º CRS,METROPOLITANA II,ACARA,330,315,219,0,0,0,2,315,221,98
7º CRS,MARAJO I,AFUA,322,331,274,0,0,0,0,331,274,224
12º CRS,ARAGUAIA,AGUA AZUL DO NORTE,177,201,29,0,0,0,0,201,29,64
9º CRS,BAIXO AMAZONAS,ALENQUER,465,449,322,0,0,7,0,456,322,231
9º CRS,BAIXO AMAZONAS,ALMEIRIM,289,308,259,0,0,0,0,308,259,314
10º CRS,XINGU,ALTAMIRA,4467,2017,1638,1978,22,0,0,3995,1660,883
8º CRS,MARAJO II,ANAJAS,164,158,170,0,0,0,0,158,170,153
1º CRS,METROPOLITANA I,ANANINDEUA,6700,6350,3703,0,0,11,11,6361,3714,1302
10º CRS,XINGU,ANAPU,1112,223,126,882,0,0,0,1105,126,105
4º CRS,RIO CAETES,AUGUSTO CORREA,308,303,278,0,0,0,0,303,278,202
5º CRS,METROPOLITANA III,AURORA DO PARA,193,201,183,0,0,0,0,201,183,130
9º CRS,TAPAJOS,AVEIRO,420,105,110,320,0,0,0,425,110,47
8º CRS,MARAJO II,BAGRE,187,182,194,0,0,0,0,182,194,177
13º CRS,TOCANTINS,BAIAO,293,285,163,87,0,0,0,372,163,158
12º CRS,ARAGUAIA,BANNACH,66,64,27,90,0,0,0,154,27,25
6º CRS,TOCANTINS,BARCARENA,1638,1560,1357,0,0,0,1,1560,1358,1073
1º CRS,METROPOLITANA I,BELEM,39033,34279,16.116,0,0,172,307,34451,16423,4036
9º CRS,BAIXO AMAZONAS,BELTERRA,459,153,123,320,0,0,0,473,123,74
1º CRS,METROPOLITANA I,BENEVIDES,512,476,335,0,0,0,0,476,335,275
11º CRS,CARAJÁS,BOM JESUS DO TOCANTINS,679,165,174,508,310,0,0,673,484,553
4º CRS,RIO CAETES,BONITO,108,95,84,0,0,0,0,95,84,42
4º CRS,RIO CAETES,BRAGANCA,1381,1310,1319,0,0,0,0,1310,1319,853
10º CRS,XINGU,BRASIL NOVO,161,158,74,0,0,0,0,158,74,55
11º CRS,CARAJÁS,BREJO GRANDE DO ARAGUAIA,76,71,70,0,0,0,0,71,70,65
11º CRS,LAGO TUCURUÍ,BREU BRANCO,328,284,246,0,0,5,5,289,251,149
8º CRS,MARAJO II,BREVES,859,792,759,0,0,0,0,792,759,417
2º CRS,METROPOLITANA II,BUJARU,143,133,190,0,0,0,0,133,190,117
7º CRS,MARAJO I,CACHOEIRA DO ARARI,133,97,56,0,0,0,0,97,56,109
4º CRS,RIO CAETES,CACHOEIRA DO PIRIA,172,190,99,0,0,0,0,190,99,61
13º CRS,TOCANTINS,CAMETA,1107,1055,725,0,0,0,0,1055,725,506
11º CRS,CARAJÁS,CANAA DOS CARAJAS,644,571,434,35,0,0,0,606,434,330
4º CRS,RIO CAETES,CAPANEMA,1466,1427,811,0,0,19,19,1446,830,582
5º CRS,METROPOLITANA III,CAPITAO POCO,572,516,487,0,0,0,0,516,487,346
3º CRS,METROPOLITANA III,CASTANHAL,2481,2464,328,0,0,38,0,2502,328,445
7º CRS,MARAJO I,CHAVES,158,142,61,0,0,0,0,142,61,69
2º CRS,METROPOLITANA II,COLARES,115,111,158,0,0,0,0,111,158,46
