CRS,REGIAO_SAU,MUNICIPIOS,TOTAL_DOSES_LIBERADAS,TRAB_SAUDE_70,TRAB_SAUDE_70_VAC,INDIGENAS,INDIGENAS_VAC,MAIOR_60,MAIOR_60_VAC,META_1a_FASE,TOTAL_VAC,TOTAL_VAC_ESUS
6° CRS,TOCANTINS,ABAETETUBA,1595,1664,1383,0,0,0,0,1664,1383,1235
11° CRS,CARAJAS,ABEL FIGUEIREDO,86,82,83,0,0,0,0,82,83,71
2° CRS,METROPOLITANA II,ACARA,330,315,219,0,0,0,2,315,221,154
7° CRS,MARAJO I,AFUA,322,331,300,0,0,0,0,331,300,230
12° CRS,ARAGUAIA,AGUA AZUL DO NORTE,177,201,29,0,0,0,0,201,29,130
9° CRS,BAIXO AMAZONAS,ALENQUER,465,449,351,0,0,7,0,456,351,664
9° CRS,BAIXO AMAZONAS,ALMEIRIM,289,308,289,0,0,0,0,308,289,432
10° CRS,XINGU,ALTAMIRA,4467,2017,1833,1978,380,0,0,3995,2213,1645
8° CRS,MARAJO II,ANAJAS,164,158,170,0,0,0,0,158,170,157
1° CRS,METROPOLITANA I,ANANINDEUA,6700,6350,3703,0,0,11,11,6361,3714,2663
10° CRS,XINGU,ANAPU,1112,223,138,882,0,0,0,1105,138,121
4° CRS,RIO CAETES,AUGUSTO CORREA,308,303,291,0,0,0,0,303,291,250
5° CRS,METROPOLITANA III,AURORA DO PARA,193,201,191,0,0,0,0,201,191,188
9° CRS,TAPAJOS,AVEIRO,420,105,110,320,0,0,0,425,110,117
8° CRS,MARAJO II,BAGRE,187,182,194,0,0,0,0,182,194,179
13° CRS,TOCANTINS,BAIAO,293,285,187,87,0,0,0,372,187,200
12° CRS,ARAGUAIA,BANNACH,66,64,56,90,0,0,0,154,56,25
6° CRS,TOCANTINS,BARCARENA,1638,1560,1478,0,0,0,1,1560,1479,1324
1° CRS,METROPOLITANA I,BELEM,39033,34279,16116,0,0,172,307,34451,16423,8445
9° CRS,BAIXO AMAZONAS,BELTERRA,459,153,124,320,0,0,0,473,124,170
1° CRS,METROPOLITANA I,BENEVIDES,512,476,335,0,0,0,0,476,335,455
11° CRS,CARAJAS,BOM JESUS DO TOCANTINS,679,165,174,508,310,0,0,673,484,164
4° CRS,RIO CAETES,BONITO,108,95,85,0,0,0,0,95,85,72
4° CRS,RIO CAETES,BRAGANCA,1381,1310,1389,0,0,0,0,1310,1389,1327
10° CRS,XINGU,BRASIL NOVO,161,158,98,0,0,0,0,158,98,96
